"","uid","fips","admin2","lat","combined_key","date","provincestate","month","case","v11","new_case","population","death","new_death"
"1",16,60,"",-14.2709999084473,"American Samoa, US",20200131,"American Samoa",1,0,-170.13200378418,0,55641,0,0
"2",16,60,"",-14.2709999084473,"American Samoa, US",20200229,"American Samoa",2,0,-170.13200378418,0,55641,0,0
"3",16,60,"",-14.2709999084473,"American Samoa, US",20200331,"American Samoa",3,0,-170.13200378418,0,55641,0,0
"4",16,60,"",-14.2709999084473,"American Samoa, US",20200430,"American Samoa",4,0,-170.13200378418,0,55641,0,0
"5",16,60,"",-14.2709999084473,"American Samoa, US",20200531,"American Samoa",5,0,-170.13200378418,0,55641,0,0
"6",16,60,"",-14.2709999084473,"American Samoa, US",20200630,"American Samoa",6,0,-170.13200378418,0,55641,0,0
"7",16,60,"",-14.2709999084473,"American Samoa, US",20200728,"American Samoa",7,0,-170.13200378418,0,55641,0,0
"8",316,66,"",13.444299697876,"Guam, US",20200131,"Guam",1,0,144.793701171875,0,164229,0,0
"9",316,66,"",13.444299697876,"Guam, US",20200229,"Guam",2,0,144.793701171875,0,164229,0,0
"10",316,66,"",13.444299697876,"Guam, US",20200331,"Guam",3,69,144.793701171875,69,164229,2,2
"11",316,66,"",13.444299697876,"Guam, US",20200430,"Guam",4,145,144.793701171875,76,164229,5,3
"12",316,66,"",13.444299697876,"Guam, US",20200531,"Guam",5,172,144.793701171875,27,164229,5,0
"13",316,66,"",13.444299697876,"Guam, US",20200630,"Guam",6,257,144.793701171875,85,164229,5,0
"14",316,66,"",13.444299697876,"Guam, US",20200728,"Guam",7,351,144.793701171875,94,164229,5,0
"15",580,69,"",15.097900390625,"Northern Mariana Islands, US",20200131,"Northern Mariana Islands",1,0,145.673904418945,0,55144,0,0
"16",580,69,"",15.097900390625,"Northern Mariana Islands, US",20200229,"Northern Mariana Islands",2,0,145.673904418945,0,55144,0,0
"17",580,69,"",15.097900390625,"Northern Mariana Islands, US",20200331,"Northern Mariana Islands",3,2,145.673904418945,2,55144,0,0
"18",580,69,"",15.097900390625,"Northern Mariana Islands, US",20200430,"Northern Mariana Islands",4,14,145.673904418945,12,55144,2,2
"19",580,69,"",15.097900390625,"Northern Mariana Islands, US",20200531,"Northern Mariana Islands",5,22,145.673904418945,8,55144,2,0
"20",580,69,"",15.097900390625,"Northern Mariana Islands, US",20200630,"Northern Mariana Islands",6,30,145.673904418945,8,55144,2,0
"21",580,69,"",15.097900390625,"Northern Mariana Islands, US",20200728,"Northern Mariana Islands",7,40,145.673904418945,10,55144,2,0
"22",84001001,1001,"Autauga",32.5395278930664,"Autauga, Alabama, US",20200131,"Alabama",1,0,-86.6440811157227,0,55869,0,0
"23",84001001,1001,"Autauga",32.5395278930664,"Autauga, Alabama, US",20200229,"Alabama",2,0,-86.6440811157227,0,55869,0,0
"24",84001001,1001,"Autauga",32.5395278930664,"Autauga, Alabama, US",20200331,"Alabama",3,7,-86.6440811157227,7,55869,0,0
"25",84001001,1001,"Autauga",32.5395278930664,"Autauga, Alabama, US",20200430,"Alabama",4,44,-86.6440811157227,37,55869,4,4
"26",84001001,1001,"Autauga",32.5395278930664,"Autauga, Alabama, US",20200531,"Alabama",5,221,-86.6440811157227,177,55869,4,0
"27",84001001,1001,"Autauga",32.5395278930664,"Autauga, Alabama, US",20200630,"Alabama",6,530,-86.6440811157227,309,55869,11,7
"28",84001001,1001,"Autauga",32.5395278930664,"Autauga, Alabama, US",20200728,"Alabama",7,941,-86.6440811157227,411,55869,20,9
"29",84001003,1003,"Baldwin",30.7277507781982,"Baldwin, Alabama, US",20200131,"Alabama",1,0,-87.7220687866211,0,223234,0,0
"30",84001003,1003,"Baldwin",30.7277507781982,"Baldwin, Alabama, US",20200229,"Alabama",2,0,-87.7220687866211,0,223234,0,0
"31",84001003,1003,"Baldwin",30.7277507781982,"Baldwin, Alabama, US",20200331,"Alabama",3,19,-87.7220687866211,19,223234,1,1
"32",84001003,1003,"Baldwin",30.7277507781982,"Baldwin, Alabama, US",20200430,"Alabama",4,174,-87.7220687866211,155,223234,3,2
"33",84001003,1003,"Baldwin",30.7277507781982,"Baldwin, Alabama, US",20200531,"Alabama",5,290,-87.7220687866211,116,223234,9,6
"34",84001003,1003,"Baldwin",30.7277507781982,"Baldwin, Alabama, US",20200630,"Alabama",6,663,-87.7220687866211,373,223234,9,0
"35",84001003,1003,"Baldwin",30.7277507781982,"Baldwin, Alabama, US",20200728,"Alabama",7,2793,-87.7220687866211,2130,223234,17,8
"36",84001005,1005,"Barbour",31.8682632446289,"Barbour, Alabama, US",20200131,"Alabama",1,0,-85.3871307373047,0,24686,0,0
"37",84001005,1005,"Barbour",31.8682632446289,"Barbour, Alabama, US",20200229,"Alabama",2,0,-85.3871307373047,0,24686,0,0
"38",84001005,1005,"Barbour",31.8682632446289,"Barbour, Alabama, US",20200331,"Alabama",3,0,-85.3871307373047,0,24686,0,0
"39",84001005,1005,"Barbour",31.8682632446289,"Barbour, Alabama, US",20200430,"Alabama",4,39,-85.3871307373047,39,24686,1,1
"40",84001005,1005,"Barbour",31.8682632446289,"Barbour, Alabama, US",20200531,"Alabama",5,167,-85.3871307373047,128,24686,1,0
"41",84001005,1005,"Barbour",31.8682632446289,"Barbour, Alabama, US",20200630,"Alabama",6,322,-85.3871307373047,155,24686,1,0
"42",84001005,1005,"Barbour",31.8682632446289,"Barbour, Alabama, US",20200728,"Alabama",7,535,-85.3871307373047,213,24686,4,3
"43",84001007,1007,"Bibb",32.9964218139648,"Bibb, Alabama, US",20200131,"Alabama",1,0,-87.125114440918,0,22394,0,0
"44",84001007,1007,"Bibb",32.9964218139648,"Bibb, Alabama, US",20200229,"Alabama",2,0,-87.125114440918,0,22394,0,0
"45",84001007,1007,"Bibb",32.9964218139648,"Bibb, Alabama, US",20200331,"Alabama",3,3,-87.125114440918,3,22394,0,0
"46",84001007,1007,"Bibb",32.9964218139648,"Bibb, Alabama, US",20200430,"Alabama",4,42,-87.125114440918,39,22394,0,0
"47",84001007,1007,"Bibb",32.9964218139648,"Bibb, Alabama, US",20200531,"Alabama",5,75,-87.125114440918,33,22394,1,1
"48",84001007,1007,"Bibb",32.9964218139648,"Bibb, Alabama, US",20200630,"Alabama",6,167,-87.125114440918,92,22394,1,0
"49",84001007,1007,"Bibb",32.9964218139648,"Bibb, Alabama, US",20200728,"Alabama",7,330,-87.125114440918,163,22394,2,1
"50",84001009,1009,"Blount",33.9821090698242,"Blount, Alabama, US",20200131,"Alabama",1,0,-86.5679092407227,0,57826,0,0
"51",84001009,1009,"Blount",33.9821090698242,"Blount, Alabama, US",20200229,"Alabama",2,0,-86.5679092407227,0,57826,0,0
"52",84001009,1009,"Blount",33.9821090698242,"Blount, Alabama, US",20200331,"Alabama",3,5,-86.5679092407227,5,57826,0,0
"53",84001009,1009,"Blount",33.9821090698242,"Blount, Alabama, US",20200430,"Alabama",4,37,-86.5679092407227,32,57826,0,0
"54",84001009,1009,"Blount",33.9821090698242,"Blount, Alabama, US",20200531,"Alabama",5,62,-86.5679092407227,25,57826,1,1
"55",84001009,1009,"Blount",33.9821090698242,"Blount, Alabama, US",20200630,"Alabama",6,204,-86.5679092407227,142,57826,1,0
"56",84001009,1009,"Blount",33.9821090698242,"Blount, Alabama, US",20200728,"Alabama",7,607,-86.5679092407227,403,57826,1,0
"57",84001011,1011,"Bullock",32.1003036499023,"Bullock, Alabama, US",20200131,"Alabama",1,0,-85.7126541137695,0,10101,0,0
"58",84001011,1011,"Bullock",32.1003036499023,"Bullock, Alabama, US",20200229,"Alabama",2,0,-85.7126541137695,0,10101,0,0
"59",84001011,1011,"Bullock",32.1003036499023,"Bullock, Alabama, US",20200331,"Alabama",3,3,-85.7126541137695,3,10101,0,0
"60",84001011,1011,"Bullock",32.1003036499023,"Bullock, Alabama, US",20200430,"Alabama",4,13,-85.7126541137695,10,10101,0,0
"61",84001011,1011,"Bullock",32.1003036499023,"Bullock, Alabama, US",20200531,"Alabama",5,209,-85.7126541137695,196,10101,5,5
"62",84001011,1011,"Bullock",32.1003036499023,"Bullock, Alabama, US",20200630,"Alabama",6,360,-85.7126541137695,151,10101,9,4
